Subpartida Arancelaria,Descripción Arancelaria,CIIU Rev. 4 A.C (2021),División,Grupo,Clase,Descripción
102909020,"Los demás animales vivos de la especie bovina, machos",141.0,,,141.0,Cría de ganado bovino y bufalino
102909090,Los demás animales vivos de la especie bovina,141.0,,,141.0,Cría de ganado bovino y bufalino
103100000,"Reproductores de raza pura, de la especie porcina",144.0,,,144.0,Cría de ganado porcino
103910000,"Animales vivos de la especie porcina, de peso inferior a 50 Kg",144.0,,,144.0,Cría de ganado porcino
103910010,"Animales vivos de la especie porcina, de peso inferior a 50 Kg., de raza pura",144.0,,,144.0,Cría de ganado porcino
103910090,"Los demás animales vivos de la especie porcina, de peso inferior a 50 Kg",144.0,,,144.0,Cría de ganado porcino
103920000,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg",144.0,,,144.0,Cría de ganado porcino
103920010,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg., de raza pura",144.0,,,144.0,Cría de ganado porcino
103920090,"Los demás animales vivos de la especie porcina, de peso superior o igual a 50 Kg",144.0,,,144.0,Cría de ganado porcino
104101000,"Reproductores de raza pura, de la especie ovina",143.0,,,143.0,Cría de ovejas y cabras
104109000,Los demás animales vivos de la especie ovina,143.0,,,143.0,Cría de ovejas y cabras
104109010,"Ovinos de raza pura y los puros por cruza, vivos",143.0,,,143.0,Cría de ovejas y cabras
104109090,Los demás animales vivos de la especie ovina,143.0,,,143.0,Cría de ovejas y cabras
104201000,"Reproductores de raza pura, de la especie caprina",143.0,,,143.0,Cría de ovejas y cabras
104209000,Los demás animales vivos de la especie caprina,143.0,,,143.0,Cría de ovejas y cabras
104209010,"Caprinos de raza pura, vivos",143.0,,,143.0,Cría de ovejas y cabras
104209090,Los demás animales vivos de la especie caprina,143.0,,,143.0,Cría de ovejas y cabras
105110000,"Aves de la especie Gallus Domesticus, de peso inferior o igual a 185 g, vivos",145.0,,,145.0,Cría de aves de corral
105120000,"Pavos (gallipavos) de las especies domésticas, vivos, de peso inferior o igual a 185 g",145.0,,,145.0,Cría de aves de corral
105130000,"Patos de peso inferior o igual a 185 g., vivos",145.0,,,145.0,Cría de aves de corral
105140000,"Gansos de peso inferior o igual a 185 g., vivos",145.0,,,145.0,Cría de aves de corral
105150000,"Pintadas de peso inferior o igual a 185 g., vivos",145.0,,,145.0,Cría de aves de corral
105190000,"Patos, gansos y pintadas de las especies domésticas, de peso inferior o igual a 185 g, vivos",145.0,,,145.0,Cría de aves de corral
105910000,"Gallos y gallinas de las especies domésticas, vivos",145.0,,,145.0,Cría de aves de corral
105920000,"Gallos y gallinas vivos, de peso inferior o igual a 2.000 g, pero superior a 185 g",145.0,,,145.0,Cría de aves de corral
105930000,"Gallos y gallinas vivos, de peso superior a 2.000 g",145.0,,,145.0,Cría de aves de corral
105940000,"Las demás aves de la especie Gallus Domesticus, vivos",145.0,,,145.0,Cría de aves de corral
105990000,"Los demás patos, gansos, pavos y pintadas, de las especies domésticas vivos",145.0,,,145.0,Cría de aves de corral
106001000,Los demás animales de peletería para reproducción o cría industrial,149.0,,,149.0,Cría de otros animales n.c.p.
106002000,Animales vivos para parques zoológicos,149.0,,,149.0,Cría de otros animales n.c.p.
106003000,Perros,149.0,,,149.0,Cría de otros animales n.c.p.
106004000,Abejas y demás insectos vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106009000,Los demás animales vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106009010,"Reptiles, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106009090,Los demás animales vivos de la partida 01.06 no incluidos antes,149.0,,,149.0,Cría de otros animales n.c.p.
106110000,"Primates, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106120000,"Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia), otarios y focas, leones marinos y morsas (mamíferos del suborden pinnipedia) vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106131100,"Llamas (Lama glama), incluidos los guanacos vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106131200,Alpacas (Lama pacus) vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106131900,"Los demás camélidos Sudamericanos, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106139000,"Los demás camellos y demás camélidos (camélidas), vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106140000,Conejos y liebres vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106190000,Los demás mamíferos vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106191000,Camélidos suramericanos,149.0,,,149.0,Cría de otros animales n.c.p.
106191100,"Llamas (Lama glama), incluidos los guanacos",149.0,,,149.0,Cría de otros animales n.c.p.
106191200,Alpacas (Lama pacus) vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106191900,"Los demás camélidos Sudamericanos, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106199000,Los demás mamíferos vivos,149.0,,,149.0,Cría de otros animales n.c.p.
106200000,"Reptiles (incluidas las serpientes y tortugas de mar), vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106310000,"Aves de rapiña, vivas",145.0,,,145.0,Cría de aves de corral
106320000,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos) vivos",145.0,,,145.0,Cría de aves de corral
106330000,"Avestruces; Emúes (Dromaius Novaehollandiae), vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106390000,"Las demás aves, vivas",145.0,,,145.0,Cría de aves de corral
106410000,Abejas,149.0,,,149.0,Cría de otros animales n.c.p.
106490000,Los demás insectos,149.0,,,149.0,Cría de otros animales n.c.p.
106900000,"Los demás animales, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106901000,"Insectos, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
106909000,"Los demás animales, vivos",149.0,,,149.0,Cría de otros animales n.c.p.
201100000,"Carne de animales de la especie bovina, fresca o refrigerada, en canales o medias canales",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201200000,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201200010,"Cuartos delanteros sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201200020,"Cuartos traseros sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201200030,"Cortes de cuartos delanteros sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201200040,"Cortes de cuartos traseros sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300000,"Carne deshuesada de animales de la especie bovina, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300010,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300090,"Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300091,"Cuartos delanteros de carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300092,"Cuartos traseros de carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300093,"Cortes de cuartos delanteros de carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300094,"Cortes de cuartos traseros de carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201300095,"Carne picada; recortes (trimmings) provenientes de la elaboración de cualquier corte de animales de la especie bovina, fresca o refrigerada, deshuesada 
",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201301000,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
201309000,"Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202100000,"Carne de animales de la especie bovina, congelada, en canales o medias canales",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202200000,"Los demás cortes (trozos) de carne de animales de la especie bovina congelada, sin deshuesar",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202200010,"Cuartos delanteros sin deshuesar, de carne de animales de la especie bovina, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202200020,"Cuartos traseros sin deshuesar, de carne de animales de la especie bovina, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202200030,"Cortes de cuartos delanteros sin deshuesar, de carne de animales de la especie bovina, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202200040,"Cortes de cuartos traseros sin deshuesar, de carne de animales de la especie bovina, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300000,"Carne de animales de la especie bovina, congelada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300010,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300090,"Las demás carnes de animales de la especie bovina, congelada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300091,"Cuartos delanteros de carne de animales de la especie bovina, congelada y deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300092,"Cuartos traseros de carne de animales de la especie bovina, congelada y deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300093,"Cortes de cuartos delanteros de carne de animales de la especie bovina, congelada y deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300094,"Cortes de cuartos traseros de carne de animales de la especie bovina, congelada y deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202300095,"Carne picada; recortes (trimmings) provenientes de la elaboración de cualquier corte de animales de la especie bovina, congelada y deshuesada 
",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202301000,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
202309000,"Las demás carnes de animales de la especie bovina, congelada, deshuesada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203110000,"Carne de animales de la especie porcina, fresca o refrigerada, en canales o medias canales",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203120000,"Piernas, paletas y sus trozos de animales de la especie porcina, frescos o refrigerados, sin deshuesar",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203190000,"Las demás carnes de animales de la especie porcina, frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203191000,Carne deshuesada de la especie porcina fresca o refrigerada,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203192000,"Chuletas, costillas de la especie porcina fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203193000,Tocino con partes magras fresco o refrigerado,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203199000,Las demás carnes de animales de la especie porcina frescas o refrigeradas,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203210000,"Carne de animales de la especie porcina congelada, en canales o medias canales",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203220000,"Piernas, paletas y sus trozos de animales de la especie porcina, congelados, sin deshuesar",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203290000,"Las demás carnes de animales de la especie porcina, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203291000,"Carne deshuesada de la especie porcina, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203292000,"Chuletas, costillas de la especie porcina congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203293000,Tocino con partes magras congelado,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
203299000,Las demás carnes de la especie porcina congeladas,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204100000,"Canales o medias canales, de cordero frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204210000,"Las demás carnes de animales de la especie ovina, en canales o medias canales, frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204220000,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie ovina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204230000,"Las demás carnes de animales de la especie ovina, deshuesadas, frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204300000,"Canales o medias canales, de cordero, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204410000,"Las demás carnes de animales de la especie ovina, en canales o medias canales, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204420000,"Los demás cortes (trozos) de carne de animales de la especie ovina sin deshuesar, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204430000,"Las demás carnes de animales de la especie ovina deshuesadas, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
204500000,"Carne de animales de la especie caprina, fresca, refrigerada o congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
205000000,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206100000,"Despojos comestibles de animales de la especie bovina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206210000,"Lenguas de animales de la especie bovina, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206220000,"Hígados de animales de la especie bovina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206290000,"Los demás despojos comestibles de animales de la especie bovina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206300000,"Despojos comestibles de animales de la especie porcina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206410000,"Hígados de animales de la especie porcina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206490000,"Los demás despojos comestibles de animales de la especie porcina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206491000,"Piel comestible (cuero, pellejo) de animales de la especie porcina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206499000,"Los demás despojos comestibles de animales de la especie porcina, congelados, (excepto, piel comestible: cuero y pellejo)",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206800000,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
206900000,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207100000,"Carne de aves sin trocear, frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207101000,"Gallos y gallinas sin trocear, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207102000,"Pavos sin trocear, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207103000,"Patos, gansos y pintadas sin trocear, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207110000,"Carne de gallo o gallina sin trocear, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207120000,"Carne de gallo o gallina sin trocear, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207130000,"Trozos y despojos de gallo o gallina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207130010,"Trozos y despojos de cuartos traseros de gallo o gallina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207130090,"Los demás trozos y despojos de gallo o gallina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207131000,"«Medios y cuartos traseros, incluidos sus trozos», de gallo o gallina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207139000,"Los demás trozos y despojos de gallo o gallina, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207140000,"Trozos y despojos de gallo o gallina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207140010,"Trozos y despojos de cuartos traseros de gallo o gallina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207140090,"Los demás trozos y despojos de gallo o gallina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207141000,"«Medios y cuartos traseros, incluidos sus trozos», de gallo o gallina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207149000,"Los demás trozos y despojos de gallo o gallina, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207210000,"Carne de gallos y gallinas sin trocear, congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207220000,"Pavos sin trocear, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207230000,"Patos, gansos y pintadas, sin trocear, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207240000,"Carne de pavo (gallipavo) sin trocear, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207250000,"Carne de pavo (gallipavo) sin trocear, congelado",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207260000,"Trozos y despojos de pavo (gallipavo), frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207270000,"Trozos y despojos de pavo (gallipavo), congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207310000,Hígados grasos de ganso o de pato frescos o refrigerados,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207320000,"Carne de pato, ganso o pintada, sin trocear, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207330000,"Carne de pato, ganso o pintada, sin trocear, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207340000,"Hígados grasos de pato, ganso o pintada, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207350000,"Las demás carnes y despojos comestibles de pato, ganso o pintada, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207360000,"Las demás carnes y despojos comestibles de pato, ganso o pintada, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207390000,"Los demás trozos y despojos comestibles de aves (incluidos los hígados), frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207410000,"Carnes de pato sin trocear, frescas o refrigeradas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207420000,"Carnes de pato sin trocear, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207430000,"Hígados grasos de pato, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207440000,"Las demás carnes y despojos comestibles de pato, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207450000,"Las demás carnes y despojos comestibles de pato, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207500000,"Hígados de ave, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207510000,"Carne de ganso sin trocear, fresca o refrigerada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207520000,"Carne de ganso sin trocear, congelada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207530000,"Hígados grasos de ganso, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207540000,"Las demás carnes y despojos comestibles de ganso, frescos o refrigerados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207550000,"Las demás carnes y despojos comestibles de ganso, congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
207600000,"Carne y despojos comestibles de pintada, frescos, refrigerados o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208100000,"Carnes y despojos comestibles de conejo o liebre, frescos, refrigerados o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208200000,"Ancas (patas) de rana, frescas, refrigeradas o congeladas",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208300000,"Carnes y despojos comestibles de primates, frescos, refrigerados o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208400000,"Las demás carnes y despojos comestibles de ballenas, delfines y marsopas, (mamíferos del orden Cetácea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia), frescos, refrigerados, o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208500000,"Carnes y despojos comestibles de reptiles (incluidas las serpientes y tortugas de mar) frescos, refrigerados o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208600000,"Carnes y despojos comestibles de camellos y demás camélidos frescos, refrigerados, o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
208900000,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
209001000,"Tocino sin partes magras, fresco, refrigerado, congelado, salado o en salmuera, seco o ahumado",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
209009000,"Las demás grasas de cerdo o de ave sin fundir ni extraer de otro modo, fresca, refrigerada, congelada o en salmuera",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
209101000,"Tocino de cerdo sin partes magras, fresco, refrigerado, congelado, salado o en salmuera, seco o ahumado",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
209109000,"Las demás grasas de cerdo sin fundir ni extraer de otro modo frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
209900000,"Las demás grasas de aves sin fundir, ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210110000,"Jamones, paletas y sus trozos de animales de la especie porcina, sin deshuesar, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210120000,"Tocino entreverado de panza (panceta) y sus trozos, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210190000,"Las demás carnes y despojos comestibles de la especie porcina, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210200000,"Carne de la especie bovina, salada o en salmuera, seca o ahumada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210201000,"Carne seca (deshidratada) de la especie bovina, salada o en salmuera, seca o ahumada",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210209000,"Las demás carnes y despojos comestibles de la especie bovina, salados o en salmuera, ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210900010,"Tocino entreverado y jamones de los demás animales, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210900090,"Los demás despojos, incluidos la harina y el polvo comestibles, de carne o de despojos de los demás animales, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210901000,Harina y polvo comestibles de carne o de despojos,1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
210909000,"Las demás carnes y despojos comestibles, salados o en salmuera, secos o ahumados",1011.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
